City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,288.58,76,72,1.95,CL,1701093823
1,port saint john's,-31.6229,29.5448,299.43,72,8,3.67,ZA,1701093850
2,port-aux-francais,-49.35,70.2167,277.8,76,66,7.78,TF,1701093767
3,karema,-6.8205,30.4389,296.29,83,74,3.07,TZ,1701093956
4,whitehorse,60.7161,-135.0538,276.58,48,20,5.14,CA,1701093783
5,fortuna,40.5982,-124.1573,277.34,100,0,4.63,US,1701093896
6,vilyuchinsk,52.9306,158.4028,268.11,80,49,5.55,RU,1701093794
7,talnakh,69.4865,88.3972,249.35,98,55,3.62,RU,1701093767
8,coronel dorrego,-38.7187,-61.2873,300.1,34,12,7.51,AR,1701093957
9,hammerfest,70.6634,23.6821,271.4,80,75,0.51,NO,1701093896
10,longyearbyen,78.2186,15.6401,277.06,75,75,6.69,SJ,1701093767
11,tamandare,-8.7597,-35.1047,301.94,64,52,4.02,BR,1701093957
12,port mathurin,-19.6833,63.4167,298.25,68,0,5.54,MU,1701093771
13,albany,42.6001,-73.9662,277.56,95,80,1.79,US,1701093618
14,college,64.8569,-147.8028,264.51,85,75,0.0,US,1701093800
15,nabire,-3.3667,135.4833,297.9,87,99,1.17,ID,1701093957
16,puerto natales,-51.7236,-72.4875,283.4,50,0,3.09,CL,1701093797
17,lashio,22.9333,97.75,288.88,88,100,0.95,MM,1701093957
18,yanam,16.7333,82.2167,297.95,77,28,3.05,IN,1701093958
19,mar del plata,-38.0023,-57.5575,292.64,90,100,5.14,AR,1701093958
20,avarua,-21.2078,-159.775,297.18,78,75,5.66,CK,1701093779
21,adamstown,-25.066,-130.1015,295.8,85,100,7.59,PN,1701093771
22,iskateley,67.6803,53.1512,249.6,100,56,2.49,RU,1701093779
23,edinburgh of the seven seas,-37.0676,-12.3116,286.26,65,10,5.33,SH,1701093793
24,papatowai,-46.5619,169.4708,283.29,97,100,3.72,NZ,1701093816
25,praia da vitoria,38.7333,-27.0667,293.01,88,75,3.64,PT,1701093836
26,udachny,66.4167,112.4,247.73,100,96,2.66,RU,1701093588
27,bredasdorp,-34.5322,20.0403,299.32,50,6,5.68,ZA,1701093798
28,ta`u,-14.2336,-169.5144,300.53,84,54,10.46,AS,1701093788
29,iqaluit,63.7506,-68.5145,269.0,74,75,7.2,CA,1701093722
